payment_id,sale_id,payment_method,payment_date,amount_paid
1,1,"Credit Card",2024-10-20,90000.00
2,2,Cash,2024-10-21,1000000.00
3,3,"Debit Card",2024-10-22,19000.00
4,4,Check,2024-10-23,30000.00
5,5,"Credit Card",2024-10-24,6000.00
6,6,Cash,2024-10-25,5000.00
7,7,"Debit Card",2024-10-26,100000.00
8,8,Check,2024-10-27,15000.00
9,9,"Credit Card",2024-10-28,10000.00
10,10,Cash,2024-10-29,50000.00
11,11,"Credit Card",2024-10-30,3000000.00
12,12,"Debit Card",2024-10-31,50000.00
13,13,Check,2024-11-01,500000.00
14,14,"Credit Card",2024-11-02,20000.00
15,15,Cash,2024-11-03,80000.00
16,16,"Debit Card",2024-11-04,25000.00
17,17,Check,2024-11-05,300000.00
18,18,"Credit Card",2024-11-06,14000.00
19,19,Cash,2024-11-07,200000.00
20,20,"Debit Card",2024-11-08,38000.00
