sale_id,product_id,customer_id,sale_date,quantity,total_amount
1,1,11,2024-10-15,1,900000.00
2,2,12,2024-10-16,2,2000000.98
3,3,13,2024-10-17,3,57000.00
4,4,14,2024-10-18,1,30000.00
5,5,15,2024-10-19,2,12000.00
6,6,16,2024-10-20,1,50000.00
7,7,17,2024-10-21,1,100000.00
8,8,18,2024-10-22,2,30000.00
9,9,19,2024-10-23,1,10000.00
10,10,20,2024-10-24,2,100000.00
11,1,11,2024-10-25,2,1800000.00
12,2,12,2024-10-26,1,1000000.00
13,3,13,2024-10-27,5,95000.00
14,4,14,2024-10-28,3,90000.00
15,5,15,2024-10-29,1,6000.00
16,6,16,2024-10-30,2,10000.00
17,7,17,2024-10-31,3,300000.00
18,8,18,2024-11-01,1,15000.00
19,9,19,2024-11-02,2,20000.00
20,10,20,2024-11-03,1,50000.00
